ID,Sex,Marital status,Age,Education,Income,Occupation,Height,Weight,Settlement size,Parents name
100000056,male,single,26,other,58258,unemployed,187,84,small city,Samuel
100000057,male,single,52,high school,202575,manager,154,78,big city,Samuel
100000058,female,non-single,31,high school,183657,staff,163,46,mid-size city,Jennifer
100000059,female,non-single,23,high school,152267,manager,146,62,mid-size city,Andrew
100000060,female,non-single,23,high school,115240,unemployed,153,51,small city,Roozan
100000061,male,non-single,27,high school,106955,staff,164,60,big city,Ann
100000062,male,single,50,high school,123641,staff,157,71,mid-size city,Lothor
100000063,male,single,61,university,166410,manager,169,73,mid-size city,George
100000064,male,single,25,other,227385,staff,156,68,big city,Samid
100000065,female,non-single,26,high school,118372,staff,147,43,mid-size city,Matt
100000066,male,single,48,high school,148115,staff,154,67,mid-size city,Matt
100000067,female,non-single,29,high school,111069,staff,140,46,small city,Samid
100000068,male,non-single,22,,139780,staff,165,49,small city,Martin
100000069,male,single,37,high school,106978,staff,182,58,big city,Ann
100000070,female,non-single,25,,110019,staff,140,62,big city,Matt
100000071,female,non-single,30,high school,169102,staff,153,66,mid-size city,Matt
100000072,male,single,46,high school,73703,unemployed,153,64,small city,Andrew
100000073,male,single,51,high school,141858,manager,176,83,big city,Andrew
100000074,female,non-single,41,university,135959,unemployed,186,50,small city,Samid
100000075,male,single,40,high school,140888,manager,180,85,big city,Samid
100000076,male,single,66,university,157299,manager,170,89,big city,Ann
100000077,male,single,34,high school,125187,staff,188,47,mid-size city,Samuel
100000078,male,single,51,high school,155486,staff,189,53,big city,Samid
100000079,male,single,39,,151697,unemployed,170,45,small city,Ann
100000080,male,non-single,22,high school,126400,staff,180,46,mid-size city,Matt
100000081,female,non-single,44,university,159246,staff,176,41,big city,Jennifer
100000082,male,single,47,high school,136138,staff,184,45,mid-size city,Roozan
100000083,female,non-single,24,high school,84792,unemployed,173,70,small city,Martin
100000084,female,non-single,58,university,100210,unemployed,158,51,small city,Ann
100000085,male,single,52,high school,93706,unemployed,173,82,small city,Lothor
100000086,female,non-single,29,high school,133783,manager,189,59,mid-size city,Roozan
100000087,female,non-single,27,,110064,staff,187,73,big city,Matt
100000088,male,single,47,high school,241068,staff,180,55,mid-size city,George
100000089,male,single,30,other,149022,manager,145,63,big city,Samid
100000090,male,single,28,other,92973,staff,179,56,big city,Jennifer
100000091,male,single,56,high school,110605,staff,169,75,mid-size city,Samid
100000092,male,single,54,high school,116604,staff,173,51,mid-size city,Martin
100000093,female,non-single,33,high school,71070,unemployed,176,47,small city,Jennifer
100000094,male,single,20,other,128678,staff,189,87,mid-size city,Matt
100000095,male,single,54,high school,165230,staff,177,56,big city,Ann
100000096,male,single,58,university,268340,staff,145,55,mid-size city,Andrew
100000097,female,non-single,61,university,135070,staff,188,57,mid-size city,Andrew
100000098,male,single,34,high school,134794,staff,176,78,big city,Jennifer
100000099,male,single,36,high school,120153,staff,152,48,mid-size city,Ann
100000100,male,single,36,high school,195465,manager,168,60,big city,Samuel
100000101,male,non-single,41,high school,93372,unemployed,143,64,small city,Samuel
100000102,male,single,24,other,110446,staff,162,47,small city,Andrew
100000103,female,non-single,24,high school,95186,staff,168,39,mid-size city,George
100000104,male,single,35,,115343,staff,173,88,mid-size city,Ann
100000105,male,non-single,26,high school,107276,staff,159,51,mid-size city,Lothor
100000106,male,single,39,high school,244716,manager,183,69,big city,Matt
100000107,male,single,39,high school,183108,manager,147,72,big city,Andrew
100000108,male,single,32,other,152876,staff,150,82,big city,Samuel
100000109,female,non-single,30,high school,165147,staff,158,59,small city,George
100000110,male,non-single,35,high school,140520,staff,181,48,small city,Matt
100000111,male,non-single,31,high school,124203,staff,175,82,mid-size city,Roozan
100000112,female,non-single,23,high school,107205,staff,175,36,mid-size city,Lothor
100000113,male,single,28,other,121432,unemployed,145,46,big city,Roozan
100000114,female,non-single,25,high school,162445,staff,162,38,small city,Roozan
100000115,male,non-single,35,high school,134112,staff,166,77,mid-size city,Lothor
100000116,male,single,47,high school,131842,staff,147,79,mid-size city,Jennifer
100000117,female,non-single,30,high school,189896,manager,149,54,small city,Martin
100000118,female,non-single,27,high school,109099,staff,150,71,big city,Matt
100000119,female,non-single,23,high school,153539,staff,148,37,mid-size city,Jennifer
100000120,male,non-single,36,high school,180495,manager,171,77,mid-size city,Andrew
100000121,female,non-single,25,high school,104653,staff,151,36,big city,Samuel
100000122,female,non-single,41,university,166933,manager,187,56,big city,Matt
100000123,male,single,24,other,66118,unemployed,189,74,small city,Lothor
100000124,male,single,63,university,135754,staff,148,61,small city,Samuel
100000125,female,non-single,27,high school,116103,staff,148,70,big city,Matt
100000126,male,single,30,other,104293,staff,150,86,mid-size city,Lothor
100000127,male,non-single,40,high school,71702,unemployed,170,77,small city,Lothor
100000128,male,single,30,other,99066,staff,160,79,big city,Matt
100000129,male,single,34,high school,143979,manager,179,60,big city,Andrew
100000130,female,non-single,29,high school,123818,staff,140,57,small city,George
100000131,female,non-single,24,high school,176714,staff,146,40,big city,Samuel
100000132,male,single,29,other,149249,staff,149,61,big city,Ann
100000133,male,single,27,other,77535,unemployed,188,55,small city,Ann
100000134,male,single,47,high school,116540,staff,170,87,mid-size city,Martin
100000135,female,non-single,21,high school,194728,staff,179,62,small city,Martin
100000136,female,non-single,38,high school,109311,staff,175,71,big city,Roozan
100000137,male,single,27,other,204723,staff,165,53,big city,Samuel
100000138,male,single,66,university,126003,unemployed,166,49,small city,Samuel
100000139,male,single,35,high school,123109,staff,174,67,mid-size city,Matt
100000140,female,non-single,44,university,108251,unemployed,163,45,small city,Matt
100000141,male,non-single,27,high school,89908,unemployed,153,66,small city,Roozan
100000142,female,non-single,30,high school,176057,manager,182,64,mid-size city,Andrew
100000143,male,single,27,other,144332,manager,171,78,big city,Lothor
100000144,male,single,22,other,101185,staff,179,89,mid-size city,Andrew
100000145,female,non-single,23,high school,107406,staff,185,38,big city,Matt
100000146,male,single,30,other,140665,staff,163,80,mid-size city,Lothor
100000147,female,non-single,39,university,106461,staff,161,56,small city,Lothor
100000148,female,non-single,51,university,127825,staff,157,50,small city,Samuel
100000149,male,single,28,other,133898,staff,186,62,mid-size city,Martin
100000150,male,single,46,high school,152383,staff,143,86,big city,Lothor
100000151,male,single,42,high school,119926,staff,162,57,small city,Roozan
100000152,male,single,38,high school,108784,staff,146,61,big city,George
100000153,male,single,24,other,153286,staff,168,90,mid-size city,Matt
100000154,female,non-single,29,high school,214204,staff,146,53,big city,Samid
100000155,male,single,36,high school,208101,manager,155,87,big city,Samuel
100000156,female,non-single,20,high school,95355,staff,170,74,mid-size city,Martin
100000157,male,single,48,high school,124156,staff,163,81,mid-size city,Lothor
100000158,male,non-single,45,university,72215,unemployed,165,56,small city,Andrew
100000159,male,single,38,,146529,staff,154,46,big city,Roozan
100000160,male,single,34,high school,75343,unemployed,140,51,small city,Samid
100000161,male,single,36,high school,129789,staff,183,86,mid-size city,Lothor
100000162,female,non-single,30,high school,101153,staff,184,61,mid-size city,Matt
100000163,male,single,36,high school,127833,staff,175,62,big city,Jennifer
100000164,male,single,70,university,224998,manager,186,56,big city,Lothor
100000165,male,single,36,high school,124445,staff,178,72,big city,Martin
100000166,male,single,32,other,141116,staff,143,67,mid-size city,Samid
100000167,female,non-single,33,high school,104276,staff,166,52,big city,Samuel
100000168,female,non-single,20,high school,147687,staff,162,75,big city,Martin
100000169,female,non-single,25,high school,125168,staff,175,65,mid-size city,Samuel
100000170,male,non-single,31,high school,115369,staff,161,80,big city,George
100000171,male,single,33,high school,95445,staff,171,60,small city,Roozan
100000172,female,non-single,26,high school,95159,staff,148,47,mid-size city,Ann
100000173,female,non-single,34,high school,153031,manager,160,48,big city,Samuel
100000174,male,single,33,high school,108899,staff,183,71,small city,Ann
100000175,male,single,26,other,113515,staff,165,63,mid-size city,Samid
100000176,female,non-single,53,university,211229,manager,168,42,small city,Samuel
100000177,male,non-single,42,university,121307,staff,181,70,small city,Samuel
100000178,male,single,52,high school,131727,staff,159,87,big city,Martin
100000179,male,single,31,other,133574,manager,150,62,mid-size city,Samuel
100000180,male,single,65,university,117334,staff,185,73,small city,Jennifer
100000181,male,non-single,28,high school,177291,staff,169,88,big city,Samuel
100000182,male,non-single,30,high school,168763,manager,189,79,mid-size city,Martin
100000183,male,single,40,high school,77720,unemployed,188,52,small city,George
100000184,male,single,50,high school,176645,staff,150,74,big city,Ann
100000185,male,single,36,high school,106205,staff,150,74,mid-size city,Matt
100000186,male,single,31,other,97785,staff,179,74,mid-size city,Andrew
100000187,female,non-single,74,graduate school,214364,manager,189,43,mid-size city,Lothor
100000188,male,single,68,university,74525,unemployed,155,78,small city,Martin
100000189,male,non-single,20,high school,98988,staff,153,70,small city,Roozan
100000190,female,non-single,33,high school,133561,staff,151,59,mid-size city,Lothor
100000191,male,single,54,high school,217651,manager,156,78,big city,Andrew
100000192,male,single,34,high school,116525,unemployed,185,88,small city,Martin
100000193,male,single,36,high school,135302,staff,184,90,big city,George
100000194,male,non-single,29,high school,106434,staff,147,61,mid-size city,Samid
100000195,male,single,21,other,128350,staff,189,50,big city,Jennifer
100000196,female,non-single,34,high school,147626,manager,182,58,big city,Samuel
100000197,female,non-single,28,high school,102697,staff,178,36,small city,Ann
100000198,female,non-single,27,high school,120262,staff,175,50,small city,Andrew
100000199,male,single,36,high school,124214,staff,173,50,big city,Roozan
100000200,male,non-single,40,high school,175223,manager,146,59,mid-size city,Ann
100000201,male,single,52,high school,137467,staff,151,49,small city,Samuel
100000202,male,non-single,27,high school,65815,unemployed,172,63,small city,Matt
100000203,male,single,26,other,129864,staff,141,72,mid-size city,Andrew
100000204,male,non-single,21,high school,88475,staff,173,81,mid-size city,Lothor
100000205,male,single,38,high school,74666,unemployed,152,85,small city,Jennifer
100000206,male,single,38,high school,222294,manager,162,78,big city,Roozan
100000207,male,single,43,high school,112878,staff,156,63,small city,Andrew
100000208,male,single,26,other,103411,staff,180,81,big city,Andrew
100000209,male,non-single,21,high school,112868,unemployed,176,70,small city,Martin
100000210,male,single,55,high school,157940,staff,160,55,big city,George
100000211,male,single,33,high school,115835,staff,167,59,big city,Roozan
100000212,female,non-single,45,university,109807,unemployed,186,47,small city,Andrew
100000213,male,single,50,high school,150699,staff,160,65,mid-size city,Samid
100000214,male,single,66,university,178967,manager,171,63,small city,Ann
100000215,male,single,51,high school,132767,staff,157,87,small city,Matt
100000216,female,non-single,39,university,86152,unemployed,145,50,small city,Samid
100000217,male,single,31,other,114528,staff,174,83,big city,Samid
100000218,male,single,23,other,133912,staff,169,60,mid-size city,Martin
100000219,male,non-single,24,high school,81210,unemployed,182,89,small city,Andrew
100000220,female,non-single,64,graduate school,131242,staff,181,44,small city,Roozan
100000221,male,non-single,26,high school,68804,unemployed,145,83,small city,Martin
100000222,female,non-single,23,high school,96961,staff,169,63,mid-size city,Lothor
100000223,male,single,30,other,90719,staff,184,64,big city,Jennifer
100000224,male,single,32,other,114116,staff,175,50,mid-size city,Lothor
100000225,male,single,30,other,128639,staff,189,87,mid-size city,Samuel
100000226,male,single,27,other,106623,staff,151,60,mid-size city,Andrew
100000227,male,single,27,other,236264,staff,177,57,mid-size city,Samid
100000228,male,single,53,high school,207783,manager,180,80,mid-size city,Matt
100000229,male,single,22,other,91739,staff,153,70,mid-size city,Martin
100000230,male,single,22,other,107780,staff,175,78,big city,Lothor
100000231,male,single,26,other,139157,staff,156,65,big city,Matt
100000232,male,single,51,high school,121751,unemployed,167,49,small city,Jennifer
100000233,male,single,35,high school,121974,staff,182,75,small city,Samid
100000234,male,non-single,25,,70320,unemployed,162,70,small city,Matt
100000235,male,single,42,high school,78327,unemployed,186,59,small city,George
100000236,male,single,30,other,131433,manager,178,49,small city,Roozan
100000237,male,single,23,other,167076,unemployed,153,55,big city,Martin
100000238,male,non-single,61,university,130788,unemployed,162,86,small city,Matt
100000239,female,non-single,35,high school,107408,staff,159,65,mid-size city,Andrew
100000240,male,single,39,high school,115323,staff,157,69,mid-size city,George
100000241,female,non-single,29,high school,99012,staff,151,70,small city,Samuel
100000242,male,single,51,high school,115996,staff,180,81,mid-size city,Lothor
100000243,male,single,24,other,123353,staff,163,63,mid-size city,Samuel
100000244,female,non-single,27,high school,100008,staff,172,44,small city,George
100000245,female,non-single,35,high school,125105,unemployed,147,57,small city,George
100000246,male,single,25,other,92020,staff,187,79,big city,Samuel
100000247,male,single,52,high school,108365,staff,154,83,big city,Andrew
100000248,male,single,35,high school,112979,staff,189,84,small city,Martin
100000249,male,single,26,other,117221,staff,158,89,mid-size city,Matt
100000250,female,non-single,22,high school,88800,staff,176,59,big city,Samuel
100000251,female,non-single,39,university,115099,unemployed,173,43,small city,Samid
100000252,female,non-single,46,university,113399,unemployed,181,56,small city,Lothor
100000253,female,non-single,24,high school,115879,staff,143,53,mid-size city,Jennifer
100000254,male,single,35,high school,141270,staff,157,79,big city,Samid
100000255,male,single,24,other,107633,staff,147,53,mid-size city,Samuel
100000256,male,single,27,other,131751,unemployed,147,76,small city,Jennifer
100000257,male,single,35,high school,83687,unemployed,163,52,small city,Samid
100000258,male,non-single,29,high school,106828,staff,171,73,big city,Matt
100000259,female,non-single,23,high school,135537,staff,175,68,mid-size city,Jennifer
100000260,female,non-single,57,university,107142,unemployed,141,60,small city,Martin
100000261,male,single,27,other,97446,staff,175,76,mid-size city,Andrew
100000262,female,non-single,55,university,126357,staff,155,72,big city,Martin
100000263,male,single,36,high school,169617,manager,168,63,mid-size city,Jennifer
100000264,female,non-single,57,university,108945,unemployed,141,51,small city,George
100000265,male,single,32,other,67345,unemployed,173,87,small city,George
100000266,male,single,37,high school,106215,staff,150,47,small city,Ann
100000267,male,single,36,,149237,staff,164,48,small city,Roozan
100000268,female,non-single,38,high school,112124,staff,169,65,small city,George
100000269,male,non-single,45,university,215150,manager,156,87,big city,Roozan
100000270,male,single,25,other,89534,staff,148,46,mid-size city,George
100000271,male,single,32,other,111082,staff,155,46,big city,George
100000272,female,non-single,37,high school,137069,staff,185,60,mid-size city,George
100000273,male,single,36,high school,244541,manager,148,61,big city,Andrew
100000274,male,single,28,other,120712,staff,156,64,mid-size city,Matt
100000275,male,non-single,34,high school,175367,unemployed,162,57,small city,Samid
100000276,male,single,32,other,111418,staff,188,69,mid-size city,Andrew
100000277,female,non-single,26,high school,110913,staff,156,50,small city,Andrew
100000278,male,non-single,49,university,84267,unemployed,177,47,small city,Samid
100000279,female,non-single,32,high school,136886,staff,147,61,big city,Roozan
100000280,male,single,29,other,144884,manager,157,73,big city,Ann
100000281,male,single,23,other,151180,staff,155,73,mid-size city,Samuel
100000282,male,single,50,high school,114997,staff,189,59,mid-size city,Martin
100000283,male,single,49,high school,100961,unemployed,183,72,small city,Ann
100000284,male,single,63,university,124849,staff,180,86,big city,Andrew
100000285,male,non-single,37,high school,152308,staff,173,90,big city,Lothor
100000286,female,non-single,35,high school,167945,unemployed,183,74,mid-size city,Roozan
100000287,male,single,26,other,126706,staff,176,86,big city,George
100000288,male,single,31,other,210017,manager,170,83,big city,Lothor
100000289,female,non-single,49,university,125665,staff,148,64,mid-size city,Matt
100000290,male,non-single,48,university,111184,staff,175,63,mid-size city,Samuel
100000291,male,non-single,26,high school,94134,staff,179,87,small city,George
100000292,male,non-single,28,high school,214620,manager,166,81,mid-size city,Lothor
100000293,female,non-single,44,university,193816,manager,164,45,mid-size city,Samid
100000294,male,single,56,high school,168714,staff,179,78,mid-size city,George
100000295,male,non-single,46,university,202997,manager,149,62,mid-size city,Andrew
100000296,female,non-single,26,high school,192451,staff,157,43,big city,Lothor
100000297,female,non-single,20,high school,127928,staff,147,66,big city,George
100000298,male,single,45,,78253,unemployed,144,80,small city,Lothor
100000299,male,single,43,high school,118446,staff,154,78,mid-size city,Andrew
100000300,male,single,32,other,161379,staff,178,81,big city,Martin
100000301,female,non-single,54,university,56622,unemployed,144,66,small city,Samuel
100000302,female,non-single,42,university,146117,staff,161,62,mid-size city,Ann
100000303,male,single,37,high school,90418,unemployed,176,77,small city,Andrew
100000304,male,single,49,high school,109053,staff,163,50,small city,Lothor
100000305,male,single,44,high school,219319,staff,143,63,small city,Jennifer
100000306,male,non-single,33,high school,144701,staff,149,77,mid-size city,Martin
100000307,female,non-single,24,high school,102425,unemployed,169,58,small city,Jennifer
100000308,male,non-single,33,high school,79867,unemployed,141,52,small city,George
100000309,female,non-single,24,high school,107114,staff,153,69,big city,Samuel
100000310,male,non-single,22,high school,62263,unemployed,162,71,small city,Jennifer
100000311,male,single,40,high school,92567,unemployed,161,52,small city,Jennifer
100000312,male,single,25,other,146349,staff,178,65,small city,Matt
100000313,female,non-single,26,high school,141825,staff,189,62,mid-size city,Samid
100000314,male,non-single,25,high school,68582,unemployed,147,84,small city,George
100000315,male,single,29,other,85476,unemployed,144,69,small city,Andrew
100000316,male,single,31,other,111091,staff,162,48,big city,Matt
100000317,male,single,38,high school,67110,unemployed,186,82,small city,Samid
100000318,female,non-single,48,university,126154,unemployed,151,54,small city,Matt
100000319,male,single,32,other,92257,staff,177,77,big city,Matt
100000320,female,non-single,27,high school,93605,unemployed,147,39,small city,Martin
100000321,male,non-single,28,high school,165190,manager,157,54,small city,Roozan
100000322,male,non-single,32,,107195,staff,178,75,small city,Lothor
100000323,male,single,34,high school,145059,manager,178,58,small city,Samid
100000324,male,single,28,other,148363,staff,175,67,small city,Samid
100000325,female,non-single,36,high school,105681,staff,164,61,big city,Martin
100000326,male,single,39,high school,93732,unemployed,183,58,small city,Samuel
100000327,male,single,49,high school,154778,staff,170,75,big city,George
100000328,female,non-single,34,high school,149356,staff,166,54,big city,Martin
100000329,male,single,31,other,145670,staff,143,71,mid-size city,Ann
100000330,male,single,28,other,101589,staff,153,85,big city,Matt
100000331,male,single,75,university,213333,manager,164,57,mid-size city,Jennifer
100000332,female,non-single,30,high school,122420,staff,172,64,small city,Ann
100000333,female,non-single,24,high school,209856,manager,150,73,mid-size city,Andrew
100000334,female,non-single,24,high school,181003,unemployed,170,67,small city,Ann
100000335,male,single,23,other,117804,staff,185,87,mid-size city,Jennifer
100000336,male,non-single,44,university,160650,manager,174,79,mid-size city,Andrew
100000337,female,non-single,23,high school,84611,unemployed,164,46,small city,Lothor
100000338,female,non-single,24,high school,98479,staff,160,44,big city,Andrew
100000339,male,single,28,other,122359,staff,168,62,big city,Ann
100000340,male,non-single,31,high school,81394,unemployed,150,64,small city,Jennifer
100000341,female,non-single,24,,150372,staff,187,64,mid-size city,Roozan
100000342,female,non-single,26,high school,92385,unemployed,160,47,small city,Samid
100000343,male,non-single,25,high school,149851,staff,160,89,big city,Lothor
100000344,male,single,33,high school,167939,manager,183,58,mid-size city,Matt
100000345,male,single,37,,115426,unemployed,170,77,small city,Martin
100000346,female,non-single,43,university,85402,unemployed,176,62,small city,Jennifer
100000347,male,single,23,other,95815,staff,175,52,big city,Andrew
100000348,female,non-single,23,high school,97518,unemployed,151,49,small city,Matt
100000349,male,single,34,high school,87355,unemployed,186,46,small city,Ann
100000350,male,single,32,other,145933,staff,181,65,mid-size city,George
100000351,female,non-single,23,high school,97307,staff,150,67,small city,Lothor
100000352,female,non-single,29,high school,108434,staff,177,38,big city,Jennifer
100000353,male,single,38,high school,151312,manager,159,86,mid-size city,George
100000354,male,single,28,other,141847,staff,179,90,mid-size city,Martin
100000355,male,single,46,high school,130675,staff,147,78,big city,Jennifer
100000356,male,single,23,other,69309,unemployed,156,60,small city,Samid
100000357,male,single,49,high school,121466,staff,164,63,big city,Lothor
100000358,male,single,26,other,153586,manager,154,87,big city,Jennifer
100000359,male,non-single,28,,92849,staff,182,48,small city,Lothor
100000360,female,non-single,23,high school,108539,staff,183,48,big city,Andrew
100000361,male,single,61,university,129556,staff,168,59,big city,Martin
100000362,male,single,37,high school,170146,manager,186,55,small city,Martin
100000363,female,non-single,36,high school,135383,staff,146,62,mid-size city,George
100000364,male,non-single,21,high school,96769,staff,162,85,big city,Andrew
100000365,male,single,25,other,43684,unemployed,155,72,small city,Samuel
100000366,male,single,36,high school,103521,staff,167,79,small city,Jennifer
100000367,male,single,27,other,118499,staff,183,81,mid-size city,Martin
100000368,female,non-single,22,high school,119684,staff,158,62,big city,Martin
100000369,male,single,42,high school,126586,staff,166,72,mid-size city,Andrew
100000370,female,non-single,40,university,136812,staff,166,48,big city,Samuel
100000371,male,single,36,high school,118277,staff,181,68,mid-size city,Andrew
100000372,male,single,33,high school,144597,staff,161,54,mid-size city,Samid
100000373,female,non-single,23,high school,106043,staff,182,43,small city,Jennifer
100000374,male,single,63,university,272314,manager,155,47,big city,Ann
100000375,female,non-single,60,university,309364,manager,181,51,big city,George
100000376,female,non-single,37,high school,170386,staff,173,40,mid-size city,Samid
100000377,male,non-single,34,high school,112458,staff,144,71,small city,Jennifer
100000378,male,single,36,high school,96840,staff,149,49,mid-size city,Matt
100000379,male,single,57,university,281923,manager,143,75,mid-size city,Andrew
100000380,female,non-single,52,university,95551,unemployed,181,70,small city,George
100000381,male,single,39,high school,112347,staff,173,88,big city,Jennifer
100000382,female,non-single,38,high school,260977,manager,170,56,big city,Roozan
100000383,female,non-single,25,high school,99354,staff,163,69,small city,Lothor
100000384,male,single,26,other,111509,staff,181,49,big city,Matt
100000385,male,single,26,other,105252,unemployed,149,83,small city,Samid
100000386,female,non-single,25,high school,108522,staff,143,50,small city,Andrew
100000387,female,non-single,21,high school,94655,staff,158,60,mid-size city,Samuel
100000388,male,single,40,high school,201699,manager,156,88,mid-size city,Samuel
100000389,male,single,27,other,139868,staff,154,84,big city,Roozan
100000390,female,non-single,27,high school,102543,staff,140,69,mid-size city,Samid
100000391,male,non-single,30,high school,134467,manager,181,54,big city,Samuel
100000392,female,non-single,19,high school,111187,unemployed,179,57,small city,George
100000393,male,single,39,high school,152302,manager,188,82,mid-size city,Lothor
100000394,female,non-single,31,high school,110610,staff,165,61,big city,Ann
100000395,male,single,31,other,137827,manager,150,79,big city,George
100000396,male,single,32,other,220923,staff,171,60,big city,George
100000397,female,non-single,55,university,165717,manager,183,74,big city,Martin
100000398,male,non-single,46,university,122299,staff,187,89,small city,Lothor
100000399,male,non-single,46,university,120499,staff,172,56,small city,Roozan
100000400,female,non-single,43,university,126449,unemployed,143,72,small city,Samid
100000401,male,non-single,39,high school,108315,staff,186,56,big city,Matt
100000402,male,non-single,28,high school,112515,staff,163,50,mid-size city,Roozan
100000403,male,single,27,other,164559,staff,169,66,mid-size city,Lothor
100000404,male,single,27,other,59238,unemployed,177,74,small city,Matt
100000405,male,single,43,high school,131133,staff,177,60,small city,Samid
100000406,male,non-single,22,,109188,staff,179,77,small city,Ann
100000407,male,single,43,high school,115393,staff,175,90,mid-size city,Samuel
100000408,male,non-single,27,high school,94711,staff,143,67,big city,Jennifer
100000409,male,non-single,26,,171860,manager,167,52,small city,Matt
100000410,male,non-single,28,high school,139414,staff,157,55,big city,Lothor
100000411,female,non-single,20,high school,110931,staff,189,74,mid-size city,Martin
100000412,male,single,35,high school,187549,manager,161,48,big city,Matt
100000413,male,single,42,,145508,manager,171,74,small city,Lothor
100000414,male,single,40,high school,104240,unemployed,158,73,small city,Samuel
100000415,female,non-single,35,high school,108272,staff,163,55,mid-size city,Samuel
100000416,male,single,35,,144004,staff,153,52,big city,Ann
100000417,male,single,33,high school,81083,unemployed,169,56,small city,Lothor
100000418,female,non-single,23,,166763,staff,163,66,mid-size city,Samuel
100000419,female,non-single,31,high school,175530,manager,171,56,mid-size city,Jennifer
100000420,female,non-single,33,high school,112422,staff,149,44,mid-size city,Samid
100000421,female,non-single,20,high school,154134,staff,156,49,big city,Jennifer
100000422,male,single,30,other,112401,staff,184,86,mid-size city,Martin
100000423,male,single,47,high school,85690,unemployed,170,49,small city,Matt
100000424,male,single,34,high school,145896,manager,176,86,big city,Matt
100000425,female,non-single,25,high school,122552,staff,181,60,big city,Samuel
100000426,male,non-single,21,high school,115494,staff,165,64,big city,Matt
100000427,male,single,29,other,109467,staff,168,63,small city,Martin
100000428,male,single,46,high school,148226,staff,149,48,big city,Martin
100000429,male,single,20,other,88559,staff,169,80,mid-size city,George
100000430,female,non-single,55,university,62393,unemployed,151,45,small city,Andrew
100000431,male,single,74,university,122133,unemployed,140,75,small city,George
